,store_code,ItemID,address,local,category
52,STORE_JRO00053,박순례손말이고기 산정집 광화문점,서울 종로구 새문안로5가길 3-10 선덕빌딩 2층,(지번) 당주동 3-2,"육류,고기"
53,STORE_JRO00054,도토리브라더스,서울 종로구 경희궁길 41 1층,(지번) 신문로2가 1-248,일식
54,STORE_JRO00055,청수당,서울 종로구 돈화문로11나길 31-9,(지번) 익선동 144,카페
55,STORE_JRO00056,마이클 바이 해비치,서울 종로구 우정국로 26 센트로폴리스 B타워 2층,(지번) 공평동 5-1,이탈리안
56,STORE_JRO00057,혜화칼국수,서울 종로구 창경궁로35길 13,(지번) 혜화동 84-3,국수
57,STORE_JRO00058,레이어드,서울 종로구 북촌로2길 2-3,(지번) 재동 84-14,카페
58,STORE_JRO00059,포비브라이트 광화문점,서울 종로구 새문안로 76,(지번) 신문로1가 115,카페
59,STORE_JRO00060,개뿔,서울 종로구 낙산성곽서1길 26 1~2층,(지번) 이화동 9-443,갤러리카페
60,STORE_JRO00061,나무사이로,서울 종로구 사직로8길 21,(지번) 내자동 196,커피전문점
61,STORE_JRO00062,우육면관 청계천점,서울 종로구 청계천로 75-2,(지번) 관철동 11-11,중식
62,STORE_JRO00063,창신동매운족발 본점,서울 종로구 종로51길 23,(지번) 창신동 581-5,"족발,보쌈"
63,STORE_JRO00064,혜화도담,서울 종로구 대명1길 16-6 1층,(지번) 명륜4가 48-2,한식
64,STORE_JRO00065,올모스트홈카페 아트선재센터점,서울 종로구 소격동 144-2,,카페
65,STORE_JRO00066,광화문한옥집,서울 종로구 새문안로5가길 7 세종클럽 지하 1층,(지번) 내수동 1,한식
66,STORE_JRO00067,갓덴스시 종로점,서울 종로구 종로12길 14,(지번) 관철동 19-1,"초밥,롤"
67,STORE_JRO00068,낙산냉면,"서울 종로구 지봉로5길 8 1,2층",(지번) 창신동 81-8,냉면
68,STORE_JRO00069,학림다방,서울 종로구 대학로 119 2층,(지번) 명륜4가 94-2,다방
69,STORE_JRO00070,잘빠진메밀 2호점,서울 종로구 율곡로8길 73 1층,(지번) 묘동 3-1,국수
70,STORE_JRO00071,도마 인사점,서울 종로구 인사동8길 6-1,(지번) 관훈동 15-1,한식
71,STORE_JRO00072,순대실록 대학로본점,서울 종로구 동숭길 127 우성빌딩 2층,(지번) 동숭동 1-41,순대
72,STORE_JRO00073,르블란서,서울 종로구 수표로28길 30,(지번) 돈의동 26,양식
73,STORE_JRO00074,수와래,서울 종로구 삼청로 82 2층,(지번) 삼청동 35-116,이탈리안
74,STORE_JRO00075,부빙,서울 종로구 창의문로 136,(지번) 부암동 254-2,카페
75,STORE_JRO00076,대련집,서울 종로구 종로16길 37,(지번) 관수동 163,국수
76,STORE_JRO00077,카페아르크,서울 종로구 인왕산로 3 위쿡 1층,(지번) 사직동 262-4,카페
77,STORE_JRO00078,북악정,서울 종로구 평창36길 6,(지번) 평창동 114-12,갈비
78,STORE_JRO00079,체부동잔치집,서울 종로구 자하문로1길 16 1층,(지번) 체부동 190,국수
79,STORE_JRO00080,몽중헌 안국점,서울 종로구 북촌로 31-22,(지번) 화동 117,중화요리
80,STORE_JRO00081,고가빈커리하우스,서울 종로구 경희궁2길 7 3층,(지번) 내수동 110-48,인도음식
81,STORE_JRO00082,평원숯불갈비,서울 종로구 종로39길 29,(지번) 효제동 174-6,갈비
82,STORE_JRO00083,교대이층집 광화문점,서울 종로구 삼봉로 95 대성스카이렉스오피스텔 102동 1층,(지번) 견지동 110,삼겹살
83,STORE_JRO00084,양반댁,서울 종로구 인사동길 19-18,(지번) 인사동 193-5,한정식
84,STORE_JRO00085,이경문순대곱창,서울 종로구 돈화문로11나길 5,(지번) 돈의동 11-1,순대
85,STORE_JRO00086,H라운지,서울 종로구 자하문로4길 21-9,(지번) 통의동 35-21,카페
86,STORE_JRO00087,인왕산 대충유원지,서울 종로구 필운대로 46 무목적빌딩 4층,(지번) 누하동 22,카페
87,STORE_JRO00088,서린낙지,서울 종로구 종로 19 르메이에르 종로타운 2층,(지번) 청진동 146,"해물,생선"
88,STORE_JRO00089,안주마을,서울 종로구 자하문로1길 3,(지번) 내자동 1-2,"호프,요리주점"
89,STORE_JRO00090,암소서울,서울 종로구 새문안로 76 지하1층,(지번) 신문로1가 115,한식
90,STORE_JRO00091,힐사이드테이블,서울 종로구 경희궁2길 7 1층,(지번) 내수동 110-48,양식
91,STORE_JRO00092,서울서 둘째로잘하는집,서울 종로구 삼청로 122-1,(지번) 삼청동 28-21,죽
92,STORE_JRO00093,일품당 광화문점,서울 종로구 세종대로23길 25,(지번) 당주동 16-1,샤브샤브
93,STORE_JRO00094,동백양과점 익선점,서울 종로구 수표로28길 17-24,(지번) 익선동 166-73,커피전문점
94,STORE_JRO00095,광화문뚝감,서울 종로구 새문안로3길 21,(지번) 당주동 128-14,감자탕
95,STORE_JRO00096,레이지버거클럽,서울 종로구 창의문로 137 1층,(지번) 부암동 254-7,햄버거
96,STORE_JRO00097,하림각,서울 종로구 자하문로 255,(지번) 부암동 188,중화요리
97,STORE_JRO00098,창화당 익선동점,서울 종로구 수표로28길 23,(지번) 익선동 174,분식
98,STORE_JRO00099,칸다소바 혜화점,서울 종로구 대학로 131-1 1층,(지번) 명륜4가 24,일본식라면
99,STORE_JRO00100,샤오바오우육면,서울 종로구 삼일대로17길 15 1층,(지번) 관철동 12-24,중화요리
100,STORE_JRO00101,북한산제빵소 광화문점,서울 종로구 경희궁2길 10,(지번) 내수동 110-9,"제과,베이커리"
101,STORE_JRO00102,신도세기 종로점,서울 종로구 삼일대로17길 51 스타골드빌딩 1층,(지번) 관철동 180,"육류,고기"
102,STORE_JRO00103,더키친750,서울 종로구 대학로8가길 80 2층,(지번) 동숭동 1-73,양식
103,STORE_JRO00104,롤인익선,서울 종로구 삼일대로30길 37,(지번) 익선동 93,"초밥,롤"
104,STORE_JRO00105,이태리재,서울 종로구 율곡로1길 74-9 1층,(지번) 소격동 158-1,이탈리안
105,STORE_JRO00106,버거파크 혜화점,서울 종로구 대학로11길 5 1층,(지번) 명륜4가 101-2,햄버거
106,STORE_JRO00107,평양고깃집,서울 종로구 인사동5길 14 2층,(지번) 관훈동 198-32,"육류,고기"
107,STORE_JRO00108,살라댕방콕,서울 종로구 돈화문로11다길 40,(지번) 익선동 166-16,양식
108,STORE_JRO00109,가스트로통,서울 종로구 자하문로6길 11-36,(지번) 통의동 25-2,양식
109,STORE_JRO00110,밀크홀1937 종로점,서울 종로구 종로 86-1,(지번) 종로2가 71-5,카페
110,STORE_JRO00111,남도분식 서촌점,서울 종로구 옥인2길 2,(지번) 누상동 52,분식
111,STORE_JRO00112,노가리슈퍼 익선점,서울 종로구 수표로28길 28,(지번) 돈의동 30,"호프,요리주점"
112,STORE_JRO00113,루뽀,서울 종로구 새문안로5길 31 센터포인트빌딩 2층,(지번) 도렴동 65,와인바
113,STORE_JRO00114,라카페갤러리,서울 종로구 자하문로10길 28,(지번) 통의동 10,갤러리카페
114,STORE_JRO00115,깃대봉냉면 창신본점,서울 종로구 지봉로12길 3,(지번) 숭인동 56-25,냉면
115,STORE_JRO00116,호반,서울 종로구 삼일대로26길 20,(지번) 낙원동 85-7,한식
116,STORE_JRO00117,육회자매집 종로3호점,서울 종로구 종로 208 1층,(지번) 종로5가 138-7,"육류,고기"
117,STORE_JRO00118,카페뎀셀브즈 종로점,서울 종로구 삼일대로 388 1~3층,(지번) 관철동 5-8,카페
118,STORE_JRO00119,경춘자의 라면땡기는날,서울 종로구 율곡로3길 82,(지번) 화동 138-21,분식
119,STORE_JRO00120,메이탄 종로점,서울 종로구 경교장1길 17,(지번) 교남동 50-1,중화요리
120,STORE_JRO00121,모도우 광화문점,서울 종로구 율곡로 6 트윈트리빌딩 B동 지하1층 101호,(지번) 중학동 14,한식
121,STORE_JRO00122,김권태돈까스백반 신문로본점,서울 종로구 경희궁1길 5 1층,(지번) 신문로2가 1-152,"돈까스,우동"
122,STORE_JRO00123,더마틴,서울 종로구 자하문로 54-1,(지번) 창성동 154,"제과,베이커리"
123,STORE_JRO00124,누하의숲,서울 종로구 필운대로 31-1,(지번) 누하동 175-2,일식집
124,STORE_JRO00125,촌놈,서울 종로구 대학로8가길 48 연경빌딩 2층,(지번) 동숭동 1-47,삼겹살
125,STORE_JRO00126,원조누드치즈김밥,서울 종로구 예지동 249-2 광장시장 41호,,분식
126,STORE_JRO00127,카페키이로,서울 종로구 창경궁로26길 41-3 2층,(지번) 명륜4가 154-2,커피전문점
127,STORE_JRO00128,동묘발전소,서울 종로구 종로 322-4,(지번) 창신동 382,"돈까스,우동"
128,STORE_JRO00129,공평동꼼장어 본점,서울 종로구 우정국로 29,(지번) 공평동 120-2,장어
129,STORE_JRO00130,클럽에스프레소,서울 종로구 창의문로 132,(지번) 부암동 257-1,커피전문점
130,STORE_JRO00131,롤링파스타 종로지점,서울 종로구 삼일대로 392,(지번) 관철동 5-5,이탈리안
131,STORE_JRO00132,세광양대창 광화문점,서울 종로구 삼봉로 68 2층,(지번) 청진동 6,"곱창,막창"
132,STORE_JRO00133,화목순대국 광화문1호점,서울 종로구 새문안로5길 11,(지번) 당주동 40,순대
133,STORE_JRO00134,꽃밥에피다,서울 종로구 인사동16길 3-6,(지번) 관훈동 118-27,한식
134,STORE_JRO00135,종로도담,서울 종로구 삼봉로 78,(지번) 청진동 46,한식
135,STORE_JRO00136,종로돈부리,서울 종로구 삼일대로 385,(지번) 관철동 7-15,일식집
136,STORE_JRO00137,커피스트,서울 종로구 경희궁길 39 1층,(지번) 신문로2가 1-335,커피전문점
137,STORE_JRO00138,할매집,서울 종로구 사직로12길 1-5,(지번) 내자동 108,"족발,보쌈"
138,STORE_JRO00139,후니도니,서울 종로구 종로 19 르메이르종로타운 지하1층,(지번) 청진동 146,"돈까스,우동"
139,STORE_JRO00140,소소한풍경,서울 종로구 자하문로40길 75,(지번) 부암동 239-13,한식
140,STORE_JRO00141,오목집 광화문점,"서울 종로구 삼봉로 98 1,2층",(지번) 공평동 125-1,"족발,보쌈"
141,STORE_JRO00142,뎁짜이,서울 종로구 대학로11길 41-4,(지번) 명륜4가 170-2,베트남음식
142,STORE_JRO00143,그레인바운더리,서울 종로구 삼일대로 388-7 1층,(지번) 관철동 21,테마카페
143,STORE_JRO00144,도트블랭킷,서울 종로구 윤보선길 22 1층,(지번) 안국동 83,카페
144,STORE_JRO00145,북촌도담,서울 종로구 북촌로1길 9,(지번) 안국동 133,한식
145,STORE_JRO00146,제이히든하우스,서울 종로구 종로 269-4 1층,(지번) 종로6가 94,카페
146,STORE_JRO00147,종로등심,서울 종로구 종로40가길 24 1층,(지번) 종로5가 247-2,"육류,고기"
147,STORE_JRO00148,부산회집,서울 종로구 돈화문로4길 38,(지번) 장사동 85,회
148,STORE_JRO00149,살롱순라,서울 종로구 율곡로10길 75,(지번) 권농동 187-7,이탈리안
149,STORE_JRO00150,호텔세느장,서울 종로구 돈화문로11길 28-5,(지번) 낙원동 122,디저트카페
150,STORE_JRO00151,대하식당,서울 종로구 자하문로7길 27,(지번) 체부동 17,"육류,고기"
151,STORE_JRO00152,깔리,서울 종로구 대학로11길 43,(지번) 명륜4가 170-8,인도음식
152,STORE_JRO00153,1940금문,서울 종로구 창경궁로 269-1,(지번) 혜화동 122-5,중화요리
153,STORE_JRO00154,우드앤브릭 재동점,서울 종로구 북촌로5길 14 1층,(지번) 재동 5-2,이탈리안
154,STORE_JRO00155,밀양손만두,서울 종로구 계동길 52-3,(지번) 계동 140-25,분식
155,STORE_JRO00156,가배도 삼청점,서울 종로구 북촌로5길 56-8 101호,(지번) 소격동 142-2,카페
156,STORE_JRO00157,스시쿠니,서울 종로구 경교장길 35 팰리스에비뉴 3133호,(지번) 평동 43,"초밥,롤"
157,STORE_JRO00158,편안한집,서울 종로구 북촌로 133,(지번) 삼청동 27-3,한정식
158,STORE_JRO00159,VIP참치 종로점,서울 종로구 삼일대로15길 25 2층,(지번) 관철동 11-13,참치회
159,STORE_JRO00160,mk2,서울 종로구 자하문로10길 17,(지번) 창성동 122-2,카페
160,STORE_JRO00161,박가네빈대떡,서울 종로구 종로32길 7 광장시장,(지번) 종로5가 138-10,한식
161,STORE_JRO00162,코피티암커피 경복궁점,서울 종로구 자하문로4길 7,(지번) 통의동 35-29,카페
162,STORE_JRO00163,대성식당,서울 종로구 종로26길 14-3,(지번) 장사동 127-1,한식
163,STORE_JRO00164,아지오,서울 종로구 인사동11길 23,(지번) 견지동 68-1,양식
164,STORE_JRO00165,삿뽀로 관훈점,서울 종로구 인사동5길 38 센터마크호텔 지하1층,(지번) 관훈동 198-42,일식집
165,STORE_JRO00166,이층양옥,"서울 종로구 돈화문로11나길 28 1,2층",(지번) 익선동 110-4,이탈리안
166,STORE_JRO00167,미도인 종로점,서울 종로구 종로 51 지하 2층,(지번) 공평동 70,양식
167,STORE_JRO00168,종로불돼지,서울 종로구 청계천로 67 종로1번가빌딩,(지번) 관철동 155,"육류,고기"
168,STORE_JRO00169,광화문짬뽕,서울 종로구 종로 19 르메이에르종로타운 2층,(지번) 청진동 146,중화요리
169,STORE_JRO00170,페르시안궁전,서울 종로구 성균관로6길 9,(지번) 명륜2가 121-1,인도음식
170,STORE_JRO00171,타코벨 광화문점,서울 종로구 새문안로 103 선광빌딩 1층,(지번) 신문로1가 2,"멕시칸,브라질"
171,STORE_JRO00172,크리스탈제이드 광화문상하이팰리스점,서울 종로구 율곡로2길 7 서머셋팰리스 1층 103호,(지번) 수송동 85,중화요리
172,STORE_JRO00173,통인스윗,서울 종로구 자하문로7길 50,(지번) 통인동 73,디저트카페
173,STORE_JRO00174,와글와글족발,서울 종로구 창신길 18,(지번) 창신동 573-1,"족발,보쌈"
174,STORE_JRO00175,한일관 광화문점,서울 종로구 종로1길 50 더케이트윈타워 A동 지하1층,(지번) 중학동 19,한정식
175,STORE_JRO00176,통인동커피공방,서울 종로구 자하문로 41-1,(지번) 통인동 118-3,커피전문점
176,STORE_JRO00177,결,서울 종로구 우정국로 26 센트로폴리스 1층,(지번) 공평동 17,카페
177,STORE_JRO00178,맛나분식,서울 종로구 돈화문로6가길 40 1층,(지번) 봉익동 21,분식
178,STORE_JRO00179,독립밀방,서울 종로구 통일로12길 10-18,(지번) 행촌동 209-11,이탈리안
179,STORE_JRO00180,슬로우파크,서울 종로구 삼청로 141,(지번) 삼청동 15-2,카페
180,STORE_JRO00181,전주식당,서울 종로구 수표로20길 16-17,(지번) 관수동 43-2,한식
181,STORE_JRO00182,스시소라 광화문점,서울 종로구 종로 19 B동 지하1층,(지번) 청진동 146,일식
182,STORE_JRO00183,대오서점,서울 종로구 자하문로7길 55,(지번) 누하동 33,카페
183,STORE_JRO00184,한옥찻집,서울 종로구 인사동12길 9,(지번) 관훈동 64,전통찻집
184,STORE_JRO00185,칠린,서울 종로구 대학로11길 41-8 1층,(지번) 명륜4가 167-2,카페
185,STORE_JRO00186,이자카야나무 종각점,"서울 종로구 종로10길 16 2,3층",(지번) 관철동 43-6,일본식주점
186,STORE_JRO00187,뽐모도로,서울 종로구 새문안로9길 19-1 일선빌딩 1층,(지번) 당주동 22-1,이탈리안
187,STORE_JRO00188,카페이마,서울 종로구 세종대로 152 일민미술관 1층,(지번) 세종로 139-8,카페
188,STORE_JRO00189,부부식당,서울 종로구 동숭길 43,(지번) 동숭동 1-152,분식
189,STORE_JRO00190,프리모바치오바치 대학로점,서울 종로구 대학로10길 5 2층,(지번) 동숭동 1-60,이탈리안
190,STORE_JRO00191,펠트커피 광화문점,서울 종로구 종로3길 17 b2층,(지번) 청진동 246,카페
191,STORE_JRO00192,라스위스,서울 종로구 자하문로6길 11-9,(지번) 통의동 25-16,양식
192,STORE_JRO00193,묘미,서울 종로구 율곡로 83 5층,(지번) 원서동 219,한정식
193,STORE_JRO00194,백스트리트피자,서울 종로구 수표로26길 16-2,(지번) 돈의동 75-4,피자
194,STORE_JRO00195,종로설렁탕,서울 종로구 종로 110,(지번) 종로3가 107-2,설렁탕
195,STORE_JRO00196,삼해집,서울 종로구 수표로20길 16-15,(지번) 관수동 42,"굴,전복"
196,STORE_JRO00197,서울집시,서울 종로구 서순라길 107,(지번) 권농동 182-6,"호프,요리주점"
197,STORE_JRO00198,우와 대학로점,서울 종로구 동숭길 78 2층,(지번) 동숭동 50-24,일식
198,STORE_JRO00199,미담헌,서울 종로구 돈화문로11다길 41,(지번) 익선동 166-36,카페
199,STORE_JRO00200,옛날민속집 1호점,서울 종로구 진흥로 469,(지번) 구기동 64-5,두부전문점
200,STORE_JRO00201,종로할머니칼국수 종로본점,서울 종로구 돈화문로11다길 14-2,(지번) 돈의동 49-1,국수
201,STORE_JRO00202,닭만리 익선동점,서울 종로구 돈화문로11길 38,(지번) 낙원동 110,한식
202,STORE_JRO00203,금문장,서울 종로구 지봉로8길 45,(지번) 숭인동 61-30,중화요리
203,STORE_JRO00204,인사동수제비,서울 종로구 인사동8길 14-1,(지번) 관훈동 29-2,수제비
204,STORE_JRO00205,파스타마켓,서울 종로구 대학로11길 9-5 1층,(지번) 명륜4가 103-6,이탈리안
205,STORE_JRO00206,능라도 광화문점,서울 종로구 새문안로3길 15 동원빌딩 3층,(지번) 당주동 128-27,냉면
206,STORE_JRO00207,스톤힐,서울 종로구 자하문로45길 8-11,(지번) 홍지동 133-12,양식
207,STORE_JRO00208,멘야산다이메 대학로점,서울 종로구 창경궁로26길 38-2 1층,(지번) 명륜4가 147-1,일본식라면
208,STORE_JRO00209,에베레스트 커리월드레스토랑,서울 종로구 종로 305 2층,(지번) 창신동 542,인도음식
209,STORE_JRO00210,솔트24,서울 종로구 동숭길 36,(지번) 동숭동 187-11,"제과,베이커리"
210,STORE_JRO00211,택이네조개전골 광화문점,서울 종로구 새문안로9길 29,(지번) 당주동 15-8,조개
211,STORE_JRO00212,크앙분식 혜화본점,서울 종로구 율곡로 206,(지번) 연건동 195-38,분식
212,STORE_JRO00213,평가옥 광화문점,서울 종로구 새문안로5길 19 로얄빌딩 지하1층,(지번) 당주동 5,냉면
213,STORE_JRO00214,카페온화 익선점,서울 종로구 수표로28길 21-10,(지번) 익선동 166-39,카페
214,STORE_JRO00215,더숲 초소책방,서울 종로구 인왕산로 172,(지번) 옥인동 산 3-1,북카페
215,STORE_JRO00216,반기다,서울 종로구 돈화문로11다길 51 1층,(지번) 낙원동 82-3,한식
216,STORE_JRO00217,서울프랑스,서울 종로구 대학로12길 53 3층,(지번) 동숭동 1-87,양식
217,STORE_JRO00218,조금,서울 종로구 인사동길 60,(지번) 관훈동 123-4,일식집
218,STORE_JRO00219,로코랩,서울 종로구 율곡로4길 51,(지번) 수송동 46-13,카페
219,STORE_JRO00220,솔트24,서울 종로구 율곡로3길 75 1층,(지번) 소격동 149-11,"제과,베이커리"
220,STORE_JRO00221,광화문집,서울 종로구 새문안로5길 10-1,(지번) 당주동 42-2,"찌개,전골"
221,STORE_JRO00222,단상,서울 종로구 북촌로2길 11,(지번) 재동 84-5,퓨전한식
222,STORE_JRO00223,하이디라오 대학로점,서울 종로구 대학로 146 3층,(지번) 혜화동 90-18,아시아음식
223,STORE_JRO00224,금용문,서울 종로구 새문안로5가길 7 세종클럽 2층,(지번) 내수동 1,중화요리
224,STORE_JRO00225,아날로그키친 삼청동점,서울 종로구 삼청로 90-1,(지번) 삼청동 63-28,이탈리안
225,STORE_JRO00226,쟁반집8292 종로점,서울 종로구 종로8길 17 1층,(지번) 관철동 43-13,"육류,고기"
226,STORE_JRO00227,서촌김씨뜨라또리아,서울 종로구 자하문로9길 6 2층,(지번) 통인동 138-1,이탈리안
227,STORE_JRO00228,고치비,서울 종로구 필운대로 38 1층,(지번) 누하동 195-2,이탈리안
228,STORE_JRO00229,빌리엔젤 대학로점,서울 종로구 대학로10길 24 스타리움빌딩 1층,(지번) 동숭동 1-97,디저트카페
229,STORE_JRO00230,바비레드 종로점,서울 종로구 종로 51 종로타워 지하2층 211호,(지번) 공평동 70,양식
230,STORE_JRO00231,쉐이크쉑 종각점,서울 종로구 종로 33 그랑서울 1층,(지번) 종로1가 40,패스트푸드
231,STORE_JRO00232,도토리편백집 대학로점,서울 종로구 창경궁로34길 26 2층,(지번) 명륜2가 24-1,"육류,고기"
232,STORE_JRO00233,더베이커스테이블 삼청동점,서울 종로구 삼청로 131 1층,(지번) 삼청동 126,음식점
233,STORE_JRO00234,호아드,서울 종로구 율곡로1길 54-3,(지번) 사간동 7,갤러리카페
234,STORE_JRO00235,팔오삼,서울 종로구 인사동12길 16 1층,(지번) 관훈동 84-23,한식
235,STORE_JRO00236,콩지POT지,서울 종로구 북촌로 21-15,(지번) 재동 34-1,이탈리안
236,STORE_JRO00237,두오모 북스앤쿡스,서울 종로구 자하문로16길 5,(지번) 효자동 40-2,이탈리안
237,STORE_JRO00238,카페 오제도,서울 종로구 대학로1길 31 1층,(지번) 종로5가 104-1,카페
238,STORE_JRO00239,이태리총각,서울 종로구 자하문로9길 11,(지번) 통인동 137-7,이탈리안
239,STORE_JRO00240,서양집,서울 종로구 대학로9길 23-2 2층,(지번) 명륜4가 129,이탈리안
240,STORE_JRO00241,애즈라이크,서울 종로구 효자로7길 23 1층,(지번) 통의동 7-33,카페
241,STORE_JRO00242,혜화동버거,서울 종로구 동숭3길 6-4 1층,(지번) 동숭동 130-63,햄버거
242,STORE_JRO00243,그린마일커피 북촌점,서울 종로구 북촌로 64,(지번) 가회동 11-49,카페
243,STORE_JRO00244,고디바 광화문점,서울 종로구 세종대로 159 세광빌딩 1층,(지번) 세종로 202-1,초콜릿
244,STORE_JRO00245,야마야 신문로점,서울 종로구 새문안로3길 12,(지번) 신문로1가 238,일식집
245,STORE_JRO00246,베어카페,서울 종로구 자하문로24길 24,(지번) 효자동 62,카페
246,STORE_JRO00247,신촌황소곱창 종로점,서울 종로구 삼일대로17길 17,(지번) 관철동 12-23,"곱창,막창"
247,STORE_JRO00248,이춘복참치 종로YMCA점,서울 종로구 종로 69 서울YMCA 1층,(지번) 종로2가 9,참치회
